date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-06-13,moderna,fully_vaccinated,0,5,1333481,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-14,moderna,fully_vaccinated,0,5,1367497,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-15,moderna,fully_vaccinated,0,5,1408702,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-16,moderna,fully_vaccinated,0,5,1453459,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-17,moderna,fully_vaccinated,0,5,1500669,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-18,moderna,fully_vaccinated,0,5,1546276,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-19,moderna,fully_vaccinated,0,5,1568139,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-20,moderna,fully_vaccinated,0,5,1576992,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-21,moderna,fully_vaccinated,0,5,1613258,0,NA,0,0,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-22,moderna,fully_vaccinated,0,5,1657678,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-23,moderna,fully_vaccinated,0,5,1703363,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
